(id,Ocupacion)
9342,Operadores de Telares y Otras Maquinas Tejedoras
9343,Operadores de Maquinas de Tintura y Acabado Textil
9344,Analistas de Calidad Textiles
9351,Operadores de Maquinas para Coser
9352,Cortadores de Tela Cuero y Piel
9353,Operadores de Maquinas y Trabajadores Relacionados con la fabricacion de calzado y marroquineria
9354,Operarios del Tratamiento de Pieles y Cueros
9355,Inspectores de Control de Calidad Fabricacion de tela piel y cuero
9361,Operadores de Control de Procesos y Maquinas para la elaboracion de alimentos y bebidas
9362,Operarios de Planta de Beneficio Animal
9363,Operarios de Planta de Procesamiento y Empaque de pescado
9364,Operadores de Maquinas para la Elaboracion de Productos de tabaco
9365,Inspectores de Control de Calidad Procesamiento de alimentos y bebidas
9371,Operadores de Maquinas de Impresion
9372,Grabadores y Otras Ocupaciones de Pre-impresion
9373,Operadores de Maquinas de Encuadernacion y Acabado
9374,Procesadores Fotograficos y de Peliculas
9381,Ensambladores e Inspectores de Vehiculos Automotor
9382,Ensambladores Fabricantes e Inspectores de Equipos y Componentes Electronicos
9383,Ensambladores e Inspectores de Aparatos y Equipo Electrico
9384,Ensambladores Fabricantes e Inspectores de Transformadores y Motores Electricos Industriales
9385,Ensambladores e Inspectores de Productos Mecanicos
9386,Ensambladores e Inspectores de Ensamble de Aeronaves
9387,Operadores de Maquinas e Inspectores de la Fabricacion de productos y componentes electricos
9391,Ensambladores e Inspectores de Embarcaciones
9392,Ensambladores e Inspectores de Muebles y Accesorios
9393,Operarios de Acabado de Muebles
9394,Ensambladores de Productos Plasticos e Inspectores
9395,Operarios de Recubrimientos Metalicos
9396,Pintores en Procesos de Manufactura
9397,Otros Ensambladores e Inspectores
9411,Operadores de Maquinas Herramientas
9412,Operadores de Maquinas para el Trabajo de la Madera
9413,Operadores de Maquinas para el Trabajo del Metal
9414,Operadores de Maquinas para Forja
9415,Operadores de Maquinas de Soldadura
9416,Operadores de Maquinas para la Fabricacion de Otros productos metalicos
9417,Operadores de Maquinas para la Fabricacion de Otros productos
9611,Obreros y Ayudantes en el Tratamiento de Metales y minerales
9612,Ayudantes en la Fabricacion Metalica
9613,Obreros y Ayudantes de Planta Quimica
9614,Obreros y Ayudantes en el Procesamiento de la Madera y produccion de pulpa y papel
9615,Obreros y Ayudantes en la Elaboracion de Alimentos y Bebidas
9616,Otros Obreros y Ayudantes en Fabricacion y Procesamiento

